# Year 2021
# Release 2021a 
# utcOffsetDirection	utcOffsetHours	utcOffsetMinutes	fromDate	thruDate	colloquialAbbreviation	ruleName	zoneName
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/New_York
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/New_York
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Indiana/Indianapolis
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Indiana/Indianapolis
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Indiana/Indianapolis
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Indiana/Marengo
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Indiana/Marengo
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Indiana/Marengo
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Indiana/Vincennes
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Indiana/Vincennes
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Indiana/Vincennes
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Indiana/Petersburg
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Indiana/Petersburg
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Indiana/Petersburg
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Indiana/Winamac
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Indiana/Winamac
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Indiana/Winamac
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Indiana/Vevay
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Indiana/Vevay
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Indiana/Vevay
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Kentucky/Louisville
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Kentucky/Louisville
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Kentucky/Louisville
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Kentucky/Monticello
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Kentucky/Monticello
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Kentucky/Monticello
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Detroit
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Detroit
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Detroit
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	Canada	America/Toronto
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	Canada	America/Toronto
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	Canada	America/Toronto
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	Canada	America/Thunder_Bay
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	Canada	America/Thunder_Bay
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	Canada	America/Thunder_Bay
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	Canada	America/Nipigon
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	Canada	America/Nipigon
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	Canada	America/Nipigon
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	Canada	America/Pangnirtung
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	Canada	America/Pangnirtung
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	Canada	America/Pangnirtung
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	Canada	America/Iqaluit
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	Canada	America/Iqaluit
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	Canada	America/Iqaluit
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Nassau
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Nassau
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Nassau
-	5	0	2021-01-01T00:00:00.000Z	2021-03-13T23:59:59.000Z	CST	Cuba	America/Havana
-	4	0	2021-03-14T00:00:00.000Z	2021-11-06T23:59:59.000Z	CDT	Cuba	America/Havana
-	5	0	2021-11-07T00:00:00.000Z	2021-12-31T23:59:59.000Z	CST	Cuba	America/Havana
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	Haiti	America/Port-au-Prince
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	Haiti	America/Port-au-Prince
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	Haiti	America/Port-au-Prince
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/Grand_Turk
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	America/Grand_Turk
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	America/Grand_Turk
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	US	CST6CDT
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	US	CST6CDT
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	US	CST6CDT
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	US	America/Chicago
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	US	America/Chicago
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	US	America/Chicago
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	US	America/North_Dakota/Center
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	US	America/North_Dakota/Center
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	US	America/North_Dakota/Center
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	US	America/North_Dakota/New_Salem
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	US	America/North_Dakota/New_Salem
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	US	America/North_Dakota/New_Salem
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	US	America/North_Dakota/Beulah
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	US	America/North_Dakota/Beulah
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	US	America/North_Dakota/Beulah
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	US	America/Indiana/Tell_City
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	US	America/Indiana/Tell_City
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	US	America/Indiana/Tell_City
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	US	America/Indiana/Knox
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	US	America/Indiana/Knox
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	US	America/Indiana/Knox
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	US	America/Menominee
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	US	America/Menominee
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	US	America/Menominee
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	Canada	America/Rainy_River
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	Canada	America/Rainy_River
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	Canada	America/Rainy_River
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	Canada	America/Winnipeg
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	Canada	America/Winnipeg
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	Canada	America/Winnipeg
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	Canada	America/Resolute
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	Canada	America/Resolute
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	Canada	America/Resolute
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	Canada	America/Rankin_Inlet
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	Canada	America/Rankin_Inlet
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	Canada	America/Rankin_Inlet
-	6	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	CST	Mexico	America/Merida
-	5	0	2021-04-04T02:00:00.000Z	2021-10-31T01:59:59.000Z	CDT	Mexico	America/Merida
-	6	0	2021-10-31T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	Mexico	America/Merida
-	6	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	CST	US	America/Matamoros
-	5	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	CDT	US	America/Matamoros
-	6	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	US	America/Matamoros
-	6	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	CST	Mexico	America/Monterrey
-	5	0	2021-04-04T02:00:00.000Z	2021-10-31T01:59:59.000Z	CDT	Mexico	America/Monterrey
-	6	0	2021-10-31T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	Mexico	America/Monterrey
-	6	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	CST	Mexico	America/Mexico_City
-	5	0	2021-04-04T02:00:00.000Z	2021-10-31T01:59:59.000Z	CDT	Mexico	America/Mexico_City
-	6	0	2021-10-31T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	Mexico	America/Mexico_City
-	6	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	CST	Mexico	America/Bahia_Banderas
-	5	0	2021-04-04T02:00:00.000Z	2021-10-31T01:59:59.000Z	CDT	Mexico	America/Bahia_Banderas
-	6	0	2021-10-31T02:00:00.000Z	2021-12-31T23:59:59.000Z	CST	Mexico	America/Bahia_Banderas
-	5	0	2021-01-01T00:00:00.000Z	2021-04-04T02:59:59.000Z	-06/-05	Chile	Pacific/Easter
-	6	0	2021-04-04T03:00:00.000Z	2021-09-05T03:59:59.000Z	-06/-05	Chile	Pacific/Easter
-	5	0	2021-09-05T04:00:00.000Z	2021-12-31T23:59:59.000Z	-06/-05	Chile	Pacific/Easter
-	7	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	MST	US	MST7MDT
-	6	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	MDT	US	MST7MDT
-	7	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	MST	US	MST7MDT
-	7	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	MST	US	America/Denver
-	6	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	MDT	US	America/Denver
-	7	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	MST	US	America/Denver
-	7	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	MST	US	America/Boise
-	6	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	MDT	US	America/Boise
-	7	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	MST	US	America/Boise
-	7	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	MST	Canada	America/Edmonton
-	6	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	MDT	Canada	America/Edmonton
-	7	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	MST	Canada	America/Edmonton
-	7	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	MST	Canada	America/Cambridge_Bay
-	6	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	MDT	Canada	America/Cambridge_Bay
-	7	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	MST	Canada	America/Cambridge_Bay
-	7	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	MST	Canada	America/Yellowknife
-	6	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	MDT	Canada	America/Yellowknife
-	7	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	MST	Canada	America/Yellowknife
-	7	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	MST	Canada	America/Inuvik
-	6	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	MDT	Canada	America/Inuvik
-	7	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	MST	Canada	America/Inuvik
-	7	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	MST	US	America/Ojinaga
-	6	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	MDT	US	America/Ojinaga
-	7	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	MST	US	America/Ojinaga
-	7	0	2021-01-01T00:00:00.000Z	2021-04-04T01:59:59.000Z	MST	Mexico	America/Mazatlan
-	6	0	2021-04-04T02:00:00.000Z	2021-10-31T01:59:59.000Z	MDT	Mexico	America/Mazatlan
-	7	0	2021-10-31T02:00:00.000Z	2021-12-31T23:59:59.000Z	MST	Mexico	America/Mazatlan
-	8	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	PST	US	PST8PDT
-	7	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	PDT	US	PST8PDT
-	8	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	PST	US	PST8PDT
-	8	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	PST	US	America/Los_Angeles
-	7	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	PDT	US	America/Los_Angeles
-	8	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	PST	US	America/Los_Angeles
-	8	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	PST	Canada	America/Vancouver
-	7	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	PDT	Canada	America/Vancouver
-	8	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	PST	Canada	America/Vancouver
-	8	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	PST	US	America/Tijuana
-	7	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	PDT	US	America/Tijuana
-	8	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	PST	US	America/Tijuana
-	9	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AKST	US	America/Juneau
-	8	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	AKDT	US	America/Juneau
-	9	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AKST	US	America/Juneau
-	9	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AKST	US	America/Sitka
-	8	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	AKDT	US	America/Sitka
-	9	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AKST	US	America/Sitka
-	9	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AKST	US	America/Metlakatla
-	8	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	AKDT	US	America/Metlakatla
-	9	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AKST	US	America/Metlakatla
-	9	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AKST	US	America/Yakutat
-	8	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	AKDT	US	America/Yakutat
-	9	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AKST	US	America/Yakutat
-	9	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AKST	US	America/Anchorage
-	8	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	AKDT	US	America/Anchorage
-	9	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AKST	US	America/Anchorage
-	9	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AKST	US	America/Nome
-	8	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	AKDT	US	America/Nome
-	9	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AKST	US	America/Nome
-	10	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	HST	US	America/Adak
-	9	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	HDT	US	America/Adak
-	10	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	HST	US	America/Adak
